TV_ID,CREATIVE_ID,PREVIOUS_CONTENT_ID,NEXT_CONTENT_ID,PREVIOUS_NETWORK_ID,NEXT_NETWORK_ID,AUDIENCES,TIMESTAMP
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48026E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48095E+12
a3638696,301784,EP005520800595,EP005520800595,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48095E+12
a3638696,301772,EP005544654871,EP005544654871,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.47914E+12
a3638696,308117,EP007399290331,EP007399290331,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.47914E+12
a3638696,301778,EP005520800596,EP005520800596,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48043E+12
a3638696,308122,EP019213490036,EP019213490036,Fox,Fox,"ADB-3469634,ADB-3469624,ADB-3469604",1.48043E+12
768377a7,308122,EP019152141895,EP019152141895,NBC,NBC,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141896,EP019152141896,NBC,NBC,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141902,unknown,NBC,N/A,ADB-3469614,1.48043E+12
768377a7,301778,EP019152141896,unknown,NBC,N/A,ADB-3469614,1.48043E+12
768377a7,308122,unknown,unknown,N/A,N/A,ADB-3469614,1.48043E+12
a3337645,308122,EP010783390210,EP010783390210,HGTV,HGTV,ADB-1788188,1.48043E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350705,EP015223350705,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48043E+12
a3337645,301784,EP015223350697,EP015223350697,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350699,EP015223350699,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301785,EP021837240006,EP021837240006,NBC,NBC,ADB-1788188,1.48043E+12
a3337645,301778,EP015223350697,EP015223350697,NBC,NBC,ADB-1788188,1.48024E+12
a3337645,301778,EP007473660528,EP007473660528,ABC,ABC,ADB-1788188,1.48024E+12
a3337645,308117,EP021838640013,EP021838640013,Fox,Fox,ADB-1788188,1.48055E+12
a3337645,308122,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48055E+12
a3337645,301772,EP019223100046,EP019223100046,CBS,CBS,ADB-1788188,1.48036E+12
a3337645,308122,EP007322830303,EP007322830303,ABC,ABC,ADB-1788188,1.48036E+12
a3337645,301784,EP021838640009,EP021838640009,Fox,Fox,ADB-1788188,1.48159E+12
a3337645,301784,EP015223350705,EP015223350705,NBC,NBC,ADB-1788188,1.48159E+12
a3337645,301784,EP015223350699,EP015223350699,NBC,NBC,ADB-1788188,1.48045E+12
e4c724f7,308122,EP009311820216,EP009311820216,CBS,CBS,"ADB-3469623,ADB-1788177,ADB-3469626,ADB-3469612,ADB-1788972,ADB-3469625,ADB-1788188,ADB-3469624,ADB-3469628,ADB-3469634,ADB-3469614",1.48045E+12
